,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
SSE_HGH_PRC,5194.0,2535.209332373508,890.5591643377464,1019.921997,1102.21548783,1286.29677765,1431.1960203,1816.3847655,2482.3850095,3105.67346225,3465.1954834,3994.4980712999995,5338.645864679997,6124.043945
SSE_LOW_PRC,5194.0,2489.627073987871,867.4381823521545,998.228027,1084.7363090400002,1266.7501097999998,1402.3809205,1784.486481,2438.2659915,3063.99456775,3409.0439206,3861.34156455,5218.051777119998,6040.712891
SSE_CLS_PRC,5194.0,2515.181934735079,880.9012239201807,1011.499023,1095.4569608699999,1277.9189148,1418.1232297000001,1806.63995325,2463.5,3090.7467655,3445.5072262,3933.9174075999936,5309.017026199999,6092.057129
SSE_VLM,4443.0,137609.47557956335,120458.30231212926,3600.0,5884.0,10000.0,15200.0,55300.0,112000.0,179800.0,283880.0,370169.9999999999,591887.9999999998,857100.0
SSE_ADJ_PRC,5194.0,2515.181934735079,880.9012239201807,1011.499023,1095.4569608699999,1277.9189148,1418.1232297000001,1806.63995325,2463.5,3090.7467655,3445.5072262,3933.9174075999936,5309.017026199999,6092.057129
HSI_OPN_PRC,5286.0,20124.369767724176,5821.6215837311265,8351.589844,9076.4565429,10133.667725,11746.3046875,15078.17285175,21130.379883,24173.93701175,27794.939453,28900.66308625,31028.85517615,33335.480469
HSI_HGH_PRC,5286.0,20245.575030775824,5846.548288152975,8430.620117,9153.4778809,10205.480224500001,11816.550293,15189.37719775,21254.725586,24281.44043,27928.444336,29079.072266,31151.09658209999,33484.078125
HSI_LOW_PRC,5286.0,19974.815532289635,5786.1060868975455,8331.870117,9029.47138705,10079.15014625,11631.629883,14944.207763999999,20977.100586,23963.5043945,27585.829102,28710.575195250003,30754.200293449972,32897.039063
HSI_CLS_PRC,5286.0,20113.927259275635,5814.775377926264,8409.009766,9107.73623025,10150.180175500001,11728.674804999999,15082.199707249998,21108.4052735,24125.10205075,27788.064453,28885.290039249998,30970.259375499987,33154.121094
HSI_VLM,4904.0,1466196608.1769984,961684616.0384281,63873400.0,145036678.0,199760600.0,250241540.0,512536400.0,1482710200.0,1961477900.0,2567885100.0,3108095099.999999,4365868358.000002,9799120000.0
HSI_ADJ_PRC,5286.0,20113.927259275635,5814.775377926264,8409.009766,9107.73623025,10150.180175500001,11728.674804999999,15082.199707249998,21108.4052735,24125.10205075,27788.064453,28885.290039249998,30970.259375499987,33154.121094
FTSE_OPN_PRC,5409.0,5920.166018601405,1002.7657403026958,3287.0,3729.58,4102.9800780000005,4378.100195,5247.799805,6003.200195,6663.700195,7262.679980399999,7439.099805,7671.46800784,7877.5
FTSE_HGH_PRC,5409.0,5960.055945884821,1000.3830853087113,3466.399902,3780.59191376,4154.659960999999,4412.699902,5291.600098,6045.799805,6702.899902,7292.8401364,7471.659863199999,7705.7518362,7903.5
FTSE_LOW_PRC,5409.0,5878.974119286375,1005.5337899718754,3277.5,3669.60808624,4052.1599607999997,4346.6800784,5208.399902,5958.899902,6624.700195,7222.9399412,7407.859960799999,7636.4481057600005,7854.600098
FTSE_CLS_PRC,5409.0,5920.17097300074,1002.7866599778563,3287.0,3729.58,4102.9800780000005,4378.100195,5247.799805,6003.200195,6663.700195,7262.679980399999,7439.099805,7671.46800784,7877.5
FTSE_VLM,5409.0,1110662877.3710482,474077916.0452443,8378200.0,377300432.0,545111800.0,611017200.0,736559900.0,975009600.0,1450615600.0,1828544400.0,2019182360.0,2147261324.0,4420947000.0
FTSE_ADJ_PRC,5409.0,5920.17097300074,1002.7866599778563,3287.0,3729.58,4102.9800780000005,4378.100195,5247.799805,6003.200195,6663.700195,7262.679980399999,7439.099805,7671.46800784,7877.5
FCHI_OPN_PRC,5483.0,4504.577503977202,938.6409161577841,2453.050049,2792.49468278,3066.5059571,3235.2319826,3744.380005,4452.589844,5254.380127,5716.3041018,6079.268798699999,6543.4635446,6929.049805
